Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,14.6,,,,,,,,,,31.1,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.1,,,0.6,,,0.2,,,,0.6,,1,0.1,0.1,0.4,0,0,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,
Argentina,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,1.1,1.2,,,,1,1.7,2,1.9,3.9,4.2,3.8,4,4.2,5,8.2,12.4,5.3,3.8,2.6,2.1,1.7,1.6,1.5,0.7,0.7,0.6,0.6,0.6,,0.7,0.4,0.8,0.8,1.1,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,14,10,7.5,5.3,2.6,2,1.5,0.9,1.2,1,1.2,0.8,1.7,1.4,1.1,1.1,0.8,1.3,1,0.4,
Samoa Americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,0.7,,,,,,0.7,,,,,,0.7,,1,0.7,,,,0.4,,0.3,,,,0.5,,0.5,,0.5,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.2,1,,0.2,,,0.2,,,0.3,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.4,0.6,0.3,0.2,0.7,0.7,0.3,0.6,0.6,,
Azerbaiyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,6.2,0.1,0.1,0,0,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,,,,,,79.4,,,,,,,,71.8,,,,,,,65.1,,,,,,,,
Bélgica,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.5,,,,1,,,0.4,,0.5,,,0.3,,,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,,,,,54.3,,,,50.7,,,19.9,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1,,,,79.9,,,,,54.7,,,,,,52.6,,,,,39.6,,,,30.5,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,37.3,,32.7,,,41.7,,,41.9,,,,33.7,,,,,33.3,,,,,24,,,,,18.2,,,,,,13.5,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,1.8,1.3,1.3,2,2.5,2.3,1.8,1.7,3.4,2,1.4,0.9,0.9,,
Bahrein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia y Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,,,,
Belarús,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,19.2,13.6,6.6,4.4,3.5,1.3,0.9,0.4,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,
Belice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,14.8,,18.3,21.5,19.8,18,,,,,,,,,,,,,,,,,,,,,,
Bermudas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,21.9,24.2,19,19.7,,10.2,15.6,12.5,9.5,8.3,8.8,,5.3,6.5,5.2,4.3,4.6,5.6,4.9,3.3,1.9,3.1,
Brasil,,,,,,,,,,,,,,,,,,,,,,23.9,24.4,30.6,29.9,25.8,12.3,19.9,22.4,20.4,24,,23.3,22.1,,14.7,16,16,14.3,15,,13,11.7,12.6,11.1,10,8.3,7.9,6.5,6.1,,5.3,4.5,3.7,3.3,3.9,4.7,5.3,5.3,5.4,1.9,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhután,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,5.9,,,,,1.7,,,,,0.9,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,,,,,,,,34.1,,,,,,,,,29.1,,,,,,,17.7,,,,,,15.4,,,,,,
República Centroafricana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2,,,,,,,,,,,,,,,,61.9,,,,,,,,,,,,,
Canadá,,,,,,,,,,,,2.2,,,,1,,,,,,0.5,,,,,,0.2,,,,0.2,,,0.2,,,0.5,0.5,,0.2,,,,0.2,,,0.2,,,0.2,,0.2,0.5,0.2,0.2,0.2,0.2,,,,
Europa Central y del Báltico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suiza,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.5,,,,,,,,0,,0,,,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,,,
Islas del Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,10.7,,6.7,,6.8,,4.7,,4.6,,5.8,,,5.3,,,2.1,,,1.7,,0.9,,0.5,,0.4,,0.3,,,0.7,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,62.7,,,48.1,,,46,,,36.5,,,22.1,,,18,,13.9,10.2,8.5,2.9,2.1,1.2,0.8,0.7,0.4,0.1,,
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,4.4,9.4,13.4,,,,27.1,,,25.9,,,30.4,,,,29.1,,,,,,34.4,,,,,,,33.4,,,11.4,,,
Camerún,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,25.7,,,,,,31.4,,,,,,,25.7,,,,,,,
"Congo, República Democrática del",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,,,,,,,,69.7,,,,,,,,,
"Congo, República del",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,,,,,,35.4,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,17.6,,,21.4,17.5,21,14.2,13,12,10.7,,,11,9.6,8.3,6.8,6.7,6.1,5.4,4.9,4.9,4.3,4.5,5.3,10.8,
Comoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,,,18.6,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,,10.6,,,,,,,,4.6,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,13.9,,,10.6,10.4,12.4,9.9,8.5,7,7.1,8.2,6.7,5.2,6.8,6.9,5.1,4.7,4.7,4.7,3.3,3.3,1.8,2.4,2.5,1.5,1.8,1.7,1.6,1.5,1.6,1.3,1.2,1.5,1.1,2.2,
Estados pequeos del Caribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Caimán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0.2,,
República Checa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,
Alemania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,,,,,19.7,24.9,,,,19.1,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,0,,,,,0,,,0.3,0.3,0.3,0.1,0,0.1,0.5,0.1,0,0,0.3,0.2,0.2,0.3,0.1,0.2,0.3,,
República Dominicana,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,17.5,,,7.6,,,,6.5,6.9,,,6.7,5.1,7.6,8.7,11.6,7.4,6.3,6.1,5.4,4.7,3.9,4.1,3.8,3,3.4,2.5,2,1,0.8,0.8,1.1,
Argelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,5.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Asia oriental y el Pacífico (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inicial del dividendo demográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia oriental y el Pacífico,,,,,,,,,,,,,,,,,,,,,,83.4,81.5,78.9,74.6,71,68.3,64.5,59.3,68.1,65.8,63.9,61.2,58.2,53.7,50,45.5,45.2,46.2,42.8,39.5,37.2,33.2,29.9,26.2,21.6,21,18.8,17.6,15.5,13.3,10.4,8.8,4.5,3.6,2.7,2.2,1.9,1.5,1.1,,
Europa y Asia central (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa y Asia central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.8,5.3,6.4,8.2,8.3,8.3,7.8,7.7,9.8,9.2,8.4,7.4,7.2,6.3,6.3,5.6,5,4.4,4.3,4.2,3.9,3.7,3.4,3.5,3.2,2.9,2.8,2.4,2.4,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,21.8,28.4,,,14.9,15,11.8,8.2,8.5,7.5,7.3,5.7,4.7,4.5,3.2,2.6,3.4,3.6,3.2,3.3,3.6,6.5,
"Egipto, República Árabe de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,3,,,,1.4,,,,,3.1,,,,2.9,,1,,0.9,,,0.9,,2.5,,,,
Zona del Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
España,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.2,,,,,0.5,,,,,1.2,,,,,0.5,,,0.8,0.8,0.7,0.8,0.4,0.5,0.8,0.7,1.1,0.9,1.1,0.8,0.9,1.1,0.7,0.8,0.8,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.1,0.8,0.8,0.4,0.4,0.6,0.8,1,0.7,0.9,0.8,0.6,0.5,0.3,0.2,0.6,,
Etiopía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2,,,,52.7,,,,,34.3,,,,,,31.3,,,,,27,,,,,,
Unión Europea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frágiles y situaciones de conflicto afectados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,51.6,51.7,50.9,50.6,50,50.1,,46.6,45.4,43.9,41.1,39.3,37.9,36.6,35.3,34.4,32.5,31.8,31.5,30.6,29.6,31.4,31.4,31,31,,,
Finlandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,0,,,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,1,,,,,0.4,,,,,,1.3,,
Francia,,,,,,,,,,,,,,,,,,,1,,,,,,1.5,,,,,1,,,,,0,,,,,,0,,,0.2,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0,0,,,
Islas Feroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Estados Federados de),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,16,,,,,,,,
Gabón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,2.5,,,,
Reino Unido,,,,,,,,,,0.2,,,,,0.2,,,,,0.2,,,,,,,1,,,,,0.2,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.2,0.3,0.3,0.2,0.2,0.4,0.2,0.2,0.2,0.1,0.2,0.3,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,18.8,17,21.8,22.9,23,12.7,12.9,12.4,12.9,12.6,14.2,12.4,12.1,14.4,13.4,10.7,8.1,6.1,4.9,4.9,6.2,5.6,4.8,5.8,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,66.4,,,71.8,,,,,,,56.7,,,,,,,42.5,,,,,,,25.7,,,,25.3,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,,,40.8,,,,,,,,53.2,,,,,47.9,,,,,24.5,,,,,,13.8,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1,,,,,50.7,,,,,,,29.8,,,,,13.4,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,42.2,,,,,,,,,53.2,,,,,,,,66.7,,,,,,,,21.7,,,
Guinea Ecuatorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,0.5,,,0.5,0.6,0.3,0.6,0.5,0.3,0.6,1,1.1,1.5,1,1.5,1.4,1,0.9,0.1,0.7,,
Granada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groenlandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,37,,,,,,,,,14,,9.6,,,,,,11.7,,,,,,,,9.5,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,
Ingreso alto,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.9,0.7,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.6,0.7,0.6,0.6,,
"Hong Kong, Región Administrativa Especial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,42,30.8,27,21.4,24.3,26.2,28.6,19.6,24.5,24.9,,19.8,22,26.5,25.4,25.1,21.1,15.6,15.2,12.3,13.8,14.3,17,14.6,13.3,13,14.6,13.9,14.2,12.7,,
Países pobres muy endeudados (PPME),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,0.6,0.8,0.7,1,0.6,0.6,0.5,0.4,0.3,,
Haití,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,,
Hungría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.7,0.1,0.1,0,0.1,0.1,0.1,0.3,0.2,0.7,0.6,1.3,0.6,0.2,0.3,,
Sólo BIRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRF y la AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total de la AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,55.4,55.7,54.5,54.2,54.3,52.2,50.9,50.6,50.7,50.6,50.3,49.6,48.7,46.9,43.4,41.3,39.6,37.8,36.2,35.1,33.2,32.1,31.3,30.3,29.2,29.4,28.8,27.8,27.1,26.9,,
mezcla de la AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,74.2,,,74.3,,,62.8,,,62.1,,,51.3,,69.1,46,43.6,39.9,26.8,26.4,27,24.6,30.6,25.2,24.7,21,18.3,15.7,13.7,11.2,9.3,8.3,7.5,6.6,5.4,4.4,3.8,3.5
Sólo AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isla de Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,63.1,,,,,,56.3,,,,50.6,,,,,,47.6,,,,,,,,,,,39.9,,,,,32.9,,22.5,,,,18.7,18.1,13.4,11.1,10,,
No clasificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irlanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.2,0.2,0.2,,,,0.2,,0.2,0.1,0.1,0,0.4,0.1,0.2,0.5,0.5,0.5,0.3,0.7,0.4,0.4,0.1,0.2,0,,,
"Irán, República Islámica del",,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,8.4,,,,4.5,,,,4.5,,,,,,,1,0.8,,,1.5,,,,0.3,0.8,0.7,0.7,0.6,0.9,1.1,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.1,,,,,,,,,
Islandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,,,,
Israel,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.2,,,,,,0.2,,,,,0.2,,,,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.2,0.2,0.7,0.5,0.5,0.5,0.2,0.5,0.5,,,
Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.2,,0,,0.2,,1.2,,0.7,,,1.7,,1.2,,,0.8,0.6,0.6,0.7,0.7,0.7,0.9,1.3,1.2,1.2,1.4,1.2,1.9,1.6,1.4,1.5,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,2.9,,,7.4,,,2.6,,,2.3,,,2.1,,1.2,,,,,,,,,,,,,,,,,
Jordania,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.6,,,,,0.4,,,,,0.2,,,,0.1,,0,,0,,,,,,,,,,,
Japón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0,,,0.7,,,,,,,,
Kazajstán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,12.8,8.9,6.2,3.3,8.7,1,0.4,0.2,0.2,0.2,0.1,0,0,0,0,0.1,0,0,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,25.9,,,25.4,,,,,,,,36.7,,,,,,,,,,29.4,,,,,,
Kirguistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,33.4,31.1,25.7,11.6,13.6,8.4,8.8,3.3,1.5,3.5,1.3,2.6,2.6,1,2.2,1.1,1.3,0.7,0.7,1.3,
Camboya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,1.7,,
Saint Kitts y Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corea, República de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.5,,0.2,,0.2,,0.2,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
América Latina y el Caribe (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República Democrática Popular Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,,,,,43.2,,,,,25.4,,,,,19.5,,,,,10.9,,,,,,7.1,,,
Líbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,,,,,,,25.9,,27.6,,,,,
Libia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
