Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Santa Lucía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,,,,,,,,,,,,,,,,5.1,,,,,
América Latina y el Caribe,,,,,,,,,,,,,,,,,,,,,,15,15.8,18.7,18.4,17,12.4,15.1,16.1,15.5,16.7,15.8,15.8,15.6,14.4,14.4,16.2,15.3,14.5,14.7,13.5,13.2,12.4,12.1,11,10.5,8.5,8.1,7.6,7.1,6.4,6,5.1,4.5,4.3,4.2,4.4,4.4,4.3,4.3,,
Países menos desarrollados: clasificación de las Naciones Unidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Países de ingreso bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,62.7,61.3,60.6,60,59.4,58.5,57.8,58.2,56.9,54.1,52.5,51.8,50.5,48.7,49,47.2,46,45.6,44.6,43.7,45.1,44.6,44.1,43.9,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,11.6,,,,,11.8,,,,,,,11,,,,5.6,,,3.5,,,2.6,,,,1.3,,,,,
Países de ingreso mediano bajo,,,,,,,,,,,,,,,,,,,,,,51.7,51.5,50.4,49.4,48.6,48.2,47.9,46.9,46.4,45.3,44.8,44,43.4,42.8,41.3,39.9,39.9,40.7,38.6,,37.2,35.4,34.3,32.6,31,30.2,28.2,27,25.6,23,19.9,18.5,17.5,16.6,15.7,15,13,11.3,10.2,,
Ingreso mediano y bajo,,,,,,,,,,,,,,,,,,,,,,55.5,54.8,53.7,51.7,49.8,48.1,46.8,44.5,47.7,47,46.3,45.2,44,42.2,40.3,38.3,38,38.2,37,35.5,34.4,32.6,30.9,28.6,26.2,25.2,23.7,22.7,21.6,19.6,17,15.9,14.1,13.3,12.9,12.5,11.4,10.5,10,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,,,,,53.7,,,,,,,,66.3,,,,,,,,,,,,,,,32.4,,,,
avanzada del dividendo demográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lituania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.8,1.5,1.3,1.4,2.2,1.5,0.7,0.9,0.7,1.3,0.7,1.3,1,0.9,0.5,,
Luxemburgo,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,0,,,0,,,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.3,0.1,0.3,0.3,0.1,,
Letonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.4,1.6,0.6,1.3,1.7,1.7,1,1.1,1.2,0.8,0.7,0.6,0.8,0.4,0.2,,
"Región Administrativa Especial de Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isla de San Martín (parte francesa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marruecos,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,4.7,,,,,,,,8.4,,7.9,,,,,,4.2,,,,,,,1.4,,,,,,,,
Mónaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República de Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,24,33.5,31.1,23.3,13.6,5.6,6.6,10.9,2,1,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0,0,0,,
Madagascar,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,,,,73.3,,,,69.4,,66.9,,71,,,,74.2,,,,,80.2,,80.7,,,,,,,,,
Maldivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,3.8,,,,,,,0,,,0,,
Oriente Medio y Norte de África,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,7.3,7.5,7.5,7.2,6.1,6.9,5.6,5.1,4.9,5.3,4.8,4.6,4.2,4,3.6,3.5,,3.2,2.9,2.7,2.6,2.5,2.4,2.2,1.8,2.1,2.1,2.2,2.6,4.8,5.4,6,7.5,,,
México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,7.4,,7.3,,18.1,,12.9,,8.9,,6.6,,6,6.5,4.2,,5.4,,4.5,,3.8,,3.7,,3.2,,2.6,,3.1,
Islas Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,
 Ingreso mediano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,10.4,9.1,6.9,5.2,4.5,5.5,4.2,4.5,3.4,,,
Malí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5,,,,,,,57.2,,,,,49.7,,,48.2,,,,,,,,,14.8,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,0.1,0.4,0.2,0.2,0.1,0,0,0.1,0.1,0.2,0.1,0.3,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,2,,,,
Oriente Medio y Norte de África (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1.6,1.3,2.5,3.3,2.8,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,28.4,,,,11.6,,,,,1.7,,,1.1,0.9,0.5,,0.3,,0.7,,0.7,,,
Mariana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,,,,,,80.6,,,,,,70.8,,,,,,64.6,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,,,,,,42.8,,21.8,,,,,21.5,,,,18.1,,,,11.8,,,,,,6.5,,,,,,,
Mauricio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.4,,,,,0.1,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,,,,,,,68.9,,,,,,68.4,,,,,,65.7,,,70.1,,
Malasia,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,2.9,,2.2,,,2,,,2.5,,0.7,,,,,,1.6,,,0.8,,0.7,,,0.1,,0,,0,,,,,,
América del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,26.9,,,,,,15.6,,,,,,
Nueva Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Níger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4,,85.5,,,,,,,,,,,80.5,,78.9,,,,60.6,,,53.6,,,,50.6,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,,,,,52.4,,,,58.4,,,,,,,47.9,,,,,,,34.9,,33.8,,,32.3,,,30.9,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,,,,25.8,,,17.8,,,,9.1,,,,8.3,,,,,3.9,,,,,,,
Países Bajos,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.2,,,1,,,1,,,,,,0.2,,,,,0.2,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,,
Noruega,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,0.2,,,,,0.5,,,,0.5,,,,,0.2,,,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.2,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,,,,,,,40.3,,,,,,,8.2,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,
Nueva Zelandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miembros OCDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otros Estados pequeos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,,,65.1,,,,,,22.3,,29.8,,,33.3,,,20.2,20.3,,14.9,,,9.4,9.6,,7.4,,5.1,,,4.9,,,
Panamá,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,22.5,,20.1,,,,15.5,,14.2,14.5,12.3,11.1,14.1,9.6,9.9,8.8,8.6,9.4,6.7,4.1,2.5,3.4,2.5,3.5,2.2,2.9,1.5,1.5,2.1,1.4,1,,
Perú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,19.5,19.3,19.3,20.3,17.6,14.7,16.3,17.8,15.6,13.2,11,8.8,6.8,6.5,6.1,5.4,4.8,4.7,4.6,4.5,3.6,3,5.8,
Filipinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,13.6,,,14.9,,,11.3,,,10.9,,,6.5,,,3,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua Nueva Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,,,,,,,,,,,,,39.7,,,,,,,,,,,,
Polonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.9,0.7,0.5,0.2,0.4,0.3,0.3,0.2,0.4,0.4,0.4,0.2,0.3,0.2,,,
previa al dividendo demográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corea, República Popular Democrática de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,0.5,0.1,0.3,0.1,0.2,0.1,0.5,0.7,0.9,0.5,0.5,0.4,0.4,0.3,0.1,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,12.4,,10.6,,10.2,,8.9,13.2,8.3,5.7,6.1,7.9,7.8,4.3,5.8,5.5,5,3.3,1.8,2.4,1.9,1.7,1,1.4,1,0.8,
Ribera Occidental y Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,0.3,1.4,,0.3,0,0.2,,,,,0.5,,,,,
Estados pequeos de las Islas del Pacfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posterior al dividendo demográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polinesia Francesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.3,4.1,3.1,4.2,5.4,6.2,6.6,7,5.3,3.2,3.3,2.7,2.2,,
Federación de Rusia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.3,4.4,3,1.8,1,1.1,1,0.8,0.4,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,,,,,66.1,,,,,59.2,,,53.7,,,52,,,,,
Asia meridional,,,,,,,,,,,,,,,,,,,,,,58.1,57.8,56,54.4,53.1,52.4,51.8,50.5,50,49.7,49,47.2,46.1,45.3,43.5,42.1,,,,,,39.9,38.7,36.9,35.1,33.6,31.8,30.4,29.4,26.2,21.5,19.7,18.9,18,16.7,15.8,12.6,10,8.5,,
Arabia Saudita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,15.3,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1,,,60.3,,,,,,,52.4,,,,41.1,,,,,,41,,,,,,,9.3,,,
Singapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Salomón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,,,,,26.6,,,,,,,,,
Sierra Leona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1,,,,,,,,,,,,,,61.3,,,,,,,,38.7,,,,,,,26.1,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,22.1,,,,13.3,15.3,,21,17.3,12.9,14.1,14.7,15.8,11.5,11.3,7.7,5.1,7.7,7.4,6.3,5.3,4.6,3.6,3.4,2.3,2.6,2.2,1.8,1.4,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.8,6.9,6.6,6.4,5.4,2.9,2.3,,
África al sur del Sahara (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudán del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,,,,,,,67.3,,,,,
África al sur del Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,55.2,56.7,58,58.7,58,57,56.7,56.5,56.3,55.8,55,54,52.9,50.4,48.7,47.3,46,44.5,44,42.1,40.9,40.3,39.2,38.1,38,37.5,36.7,35.7,35.1,,
Pequeños Estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Tomé y Príncipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,,,,,,22.6,,,,,,,15.6,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,
República Eslovaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.7,0.7,1.4,0.2,0.2,0.1,,
Eslovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Suecia,,,,,,,,8,,,,,,,,0.5,,,,,,0.2,,,,,,0.2,,,,,0.2,,,0.2,,,,,0,,,0.3,0.4,1.1,0.4,0.4,0.6,0.5,0.5,0.6,0.5,0.7,0.5,0.6,0.3,0.2,0.7,0.3,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,,,,,,56.1,,,,,,,,,49.3,,,,,,,36.1,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,0.5,,,
República Árabe Siria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,1.1,,,,,,,,,,,,,,,,,,
Islas Turcas y Caicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.8,,,,,,,,36.6,,,,,,,30.9,,,
Asia oriental y el Pacífico (BIRF y la AIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa y Asia central (BIRF y la AIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,58.9,,,,54.7,,,28.1,,,
Tailandia,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,18,,12.3,,9,,4.5,,3.1,,2.2,4,4,,1.8,,1.2,,0.9,0.5,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0,
Tayikistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,36.7,21.4,,,12.8,,6.8,,,,,,6.1,,,,,,
Turkmenistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,,,,,,,,,,,,,,,,,,,,,,,
América Latina y el Caribe (BIRF y la AIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,17.3,,,,,,,8,,,,,,,
Oriente Medio y Norte de África (BIRF y la AIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,1.3,,,,,,1.1,,,,,,
Asia meridional (BIRF y la AIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
África al sur del Sahara (BIRF y la AIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad y Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Túnez,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,8.6,,,,,9.5,,,,,4.4,,,,,2.6,,,,,1.5,,,,,0.1,,,,,,
Turquía,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,3,,,,,,,,2.1,3.9,2,2.3,1.8,1.3,0.6,0.7,0.8,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0,0.4,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,
Tanzanía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,,,,,,,,,84,,,,,,,56.2,,,,44.7,,,,,,,44.9,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,,,65.9,,,,64.9,,,68.7,,,66.7,,,58,,,,46.7,,,37.5,,,,42.7,,,42.2,,
Ucrania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1.9,,7.1,7.2,,,,,,2.7,1.1,0.9,0.4,0.2,0.1,0,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,
Ingreso mediano alto,,,,,,,,,,,,,,,,,,,,,,59.2,57.9,56.6,53.2,49.9,46.6,44.2,40.4,47.9,47.1,45.8,43.9,41.8,38.4,36,33.2,32.6,32.1,31.7,28.9,27.3,25,22.6,19.4,15.8,14.5,13.3,12.4,11.2,9.8,7.5,6.4,3,2.5,2,1.9,1.8,1.6,1.5,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,
Estados Unidos,,,,,,,,,,,,,,,0.7,,,,,0.5,,,,,,,0.5,,,,,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1,1.2,1,1,,
Uzbekistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,,82.3,,81.3,82.2,,,,,,,,,,,,,,,,,,
San Vicente y las Granadinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,7,,5.3,,,4.5,,,9.9,,,10.4,11.8,,10.3,16.4,19.7,16.6,14.4,7.1,,,,,,,,,,,,,,,
Islas Vírgenes Británicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Vírgenes (EE.UU.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,,,24.4,,,,,29.9,,20.1,,14.9,,11.1,,2.9,,1.7,,1.9,,1.3,,1.2,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,,,,10,,
Mundo,,,,,,,,,,,,,,,,,,,,,,43.6,43.2,42.5,41,39.6,38.3,37.4,35.7,38.3,37.8,37.4,36.5,35.6,34.3,32.8,31.3,31.1,31.3,30.3,29.1,28.3,26.9,25.5,23.6,21.7,20.9,19.6,18.8,17.9,16.3,14.2,13.3,11.7,11.2,10.8,10.5,9.6,8.9,8.4,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,1.1,,,,,1.2,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,4.2,4.1,,,3.4,2.9,1.9,0.8,0.4,1.1,0.8,0.8,0.4,,,,
"Yemen, Rep. del",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,10.5,,,,,,,,,19.8,,,,,,,
Sudáfrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,,,,,36.8,,,,,28.3,,,18.7,,18.1,,,,20.5,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4,,59.1,,,46.8,,47.2,,,,56.4,,61.1,,64.7,,,,68.5,,,,,61.4,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,34.2,,39.8,,
